               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04396,            0.029472,            0.025221,                   0,                   0,                   0,                   0,             0.04343,            0.031348,            0.025155,              0.0928,              0.0008,              0.0008
                   1,            0.044165,            0.028731,            0.025198,                   0,                   0,                   0,                   0,            0.042944,            0.032718,            0.025152,            0.084692,           0.0016916,           0.0016916
                   2,            0.042629,            0.031913,            0.025187,                   0,                   0,                   0,                   0,            0.042444,            0.034266,            0.025149,            0.076574,           0.0025743,           0.0025743
                   3,            0.042724,            0.029115,            0.025175,                   0,                   0,                   0,                   0,            0.041955,            0.035806,            0.025146,            0.068448,            0.003448,            0.003448
                   4,            0.042613,            0.030891,            0.025169,                   0,                   0,                   0,                   0,            0.041436,            0.037372,            0.025144,            0.060313,           0.0043129,           0.0043129
                   5,            0.041312,            0.032403,            0.025162,                   0,                   0,                   0,                   0,            0.041069,            0.038401,            0.025141,            0.052169,           0.0051688,           0.0051688
                   6,            0.041746,            0.032498,            0.025162,                   0,                   0,                   0,                   0,            0.040834,            0.038966,             0.02514,            0.044016,           0.0060159,           0.0060159
                   7,            0.041629,            0.032505,            0.025131,                   0,                   0,                   0,                   0,            0.040661,             0.03927,            0.025139,            0.035854,            0.006854,            0.006854
                   8,            0.041773,            0.030464,            0.025103,                   0,                   0,                   0,                   0,            0.040551,            0.039336,            0.025136,            0.027683,           0.0076832,           0.0076832
                   9,            0.041367,            0.033316,            0.025085,                   0,                   0,                   0,                   0,            0.040502,            0.039268,            0.025134,            0.019504,           0.0085035,           0.0085035
                  10,            0.041825,            0.030686,            0.025068,                   0,                   0,                   0,                   0,            0.040469,            0.039134,            0.025131,            0.011315,           0.0093149,           0.0093149
                  11,            0.042425,            0.027786,            0.025053,                   0,                   0,                   0,                   0,            0.040447,            0.038843,            0.025122,           0.0094555,           0.0094555,           0.0094555
                  12,            0.042238,            0.027842,            0.025028,                   0,                   0,                   0,                   0,            0.040446,            0.038602,            0.025114,           0.0094555,           0.0094555,           0.0094555
                  13,            0.040938,            0.031373,            0.025018,                   0,                   0,                   0,                   0,             0.04045,             0.03835,            0.025104,            0.009406,            0.009406,            0.009406
                  14,            0.041175,            0.029939,            0.025012,                   0,                   0,                   0,                   0,             0.04046,            0.038073,            0.025092,           0.0093565,           0.0093565,           0.0093565
                  15,             0.04166,             0.02981,            0.024983,                   0,                   0,                   0,                   0,            0.040471,            0.037622,            0.025068,            0.009307,            0.009307,            0.009307
                  16,            0.041743,            0.028808,            0.024935,                   0,                   0,                   0,                   0,             0.04046,            0.037318,            0.025041,           0.0092575,           0.0092575,           0.0092575
                  17,            0.042801,             0.02619,            0.024914,                   0,                   0,                   0,                   0,            0.040451,            0.036961,            0.024994,            0.009208,            0.009208,            0.009208
                  18,            0.042179,            0.026362,            0.024878,                   0,                   0,                   0,                   0,            0.040446,            0.036581,            0.024949,           0.0091585,           0.0091585,           0.0091585
                  19,            0.041671,            0.027812,            0.024854,                   0,                   0,                   0,                   0,            0.040454,            0.035997,             0.02489,            0.009109,            0.009109,            0.009109
                  20,            0.041379,            0.027448,            0.024811,                   0,                   0,                   0,                   0,            0.040421,            0.035628,            0.024833,           0.0090595,           0.0090595,           0.0090595
                  21,            0.041217,            0.027941,            0.024778,                   0,                   0,                   0,                   0,             0.04042,            0.035178,            0.024812,             0.00901,             0.00901,             0.00901
                  22,            0.041577,            0.028493,            0.024743,                   0,                   0,                   0,                   0,            0.040416,            0.034774,            0.024787,           0.0089605,           0.0089605,           0.0089605
                  23,            0.041973,            0.026951,            0.024651,                   0,                   0,                   0,                   0,            0.040433,            0.034141,            0.024744,            0.008911,            0.008911,            0.008911
                  24,            0.041943,            0.026196,            0.024634,                   0,                   0,                   0,                   0,            0.040471,            0.033527,            0.024748,           0.0088615,           0.0088615,           0.0088615
                  25,            0.040833,            0.027275,            0.024592,                   0,                   0,                   0,                   0,             0.04051,             0.03313,            0.024524,            0.008812,            0.008812,            0.008812
                  26,            0.041511,            0.028594,            0.024468,                   0,                   0,                   0,                   0,            0.040574,             0.03279,            0.024357,           0.0087625,           0.0087625,           0.0087625
                  27,            0.040746,            0.028114,            0.024454,          4.2548e-05,          0.00057208,          3.3398e-05,          3.3398e-06,            0.040573,            0.032281,             0.02428,            0.008713,            0.008713,            0.008713
                  28,             0.04145,            0.026779,            0.024273,                   0,                   0,                   0,                   0,            0.040624,            0.031591,            0.024162,           0.0086635,           0.0086635,           0.0086635
                  29,            0.041822,             0.02571,            0.024187,                   0,                   0,                   0,                   0,            0.040625,            0.031285,             0.02409,            0.008614,            0.008614,            0.008614
                  30,            0.041864,            0.024967,            0.024049,                   0,                   0,                   0,                   0,            0.040572,             0.03107,            0.024088,           0.0085645,           0.0085645,           0.0085645
                  31,            0.041935,            0.025787,            0.023933,          0.00073099,          0.00057208,          0.00037046,          3.7046e-05,            0.040551,             0.03113,            0.024074,            0.008515,            0.008515,            0.008515
                  32,            0.041471,            0.025166,            0.023827,          5.0569e-05,           0.0022883,          2.7324e-05,          2.7324e-06,             0.04054,            0.030968,            0.024005,           0.0084655,           0.0084655,           0.0084655
                  33,            0.041239,             0.02572,            0.023716,          0.00024754,           0.0085812,          0.00015438,          2.3436e-05,            0.040502,            0.030527,            0.023887,            0.008416,            0.008416,            0.008416
