               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039272,             0.03172,           0.0036643,             0.16498,            0.081789,            0.056184,           0.0078479,            0.038542,            0.033035,           0.0029533,              0.0937,              0.0007,              0.0007
                   1,            0.038775,            0.028231,           0.0037732,             0.31217,             0.22167,             0.21036,            0.058339,            0.036041,            0.025942,           0.0025823,            0.086497,            0.001497,            0.001497
                   2,            0.037016,            0.024342,           0.0033611,              0.3616,             0.27106,              0.2583,             0.06987,            0.034836,            0.023281,           0.0023902,            0.079291,           0.0022909,           0.0022909
                   3,            0.035599,            0.024998,           0.0031714,              0.3324,             0.33448,             0.27822,            0.078633,            0.033591,            0.021761,           0.0023248,            0.072082,           0.0030816,           0.0030816
                   4,            0.033962,             0.02218,           0.0029007,             0.32701,             0.38257,             0.29787,            0.092836,            0.032814,             0.02084,           0.0022872,            0.064869,           0.0038691,           0.0038691
                   5,            0.034731,            0.021264,           0.0030359,              0.3576,             0.40212,             0.31049,             0.10001,            0.032481,            0.018891,           0.0022474,            0.057653,           0.0046535,           0.0046535
                   6,            0.033172,            0.021728,           0.0028434,             0.37545,             0.37919,             0.30733,              0.1005,            0.032366,            0.017262,           0.0022165,            0.050435,           0.0054347,           0.0054347
                   7,            0.032518,            0.023518,           0.0025723,             0.45986,             0.35744,             0.33118,             0.10213,            0.032205,            0.016328,           0.0021745,            0.043213,           0.0062127,           0.0062127
                   8,            0.033049,            0.022133,           0.0026665,             0.46737,               0.355,             0.32915,            0.099855,            0.032144,            0.015256,           0.0021498,            0.035988,           0.0069875,           0.0069875
                   9,            0.033138,            0.022889,           0.0027039,              0.4563,             0.38406,              0.3422,            0.099531,            0.031883,            0.014706,           0.0021294,            0.028759,           0.0077592,           0.0077592
                  10,            0.031819,            0.022333,           0.0023543,             0.37998,             0.41019,             0.32256,              0.1072,            0.031973,            0.014031,           0.0021369,            0.021528,           0.0085277,           0.0085277
                  11,             0.03264,            0.021954,           0.0025681,             0.36175,             0.43349,             0.30807,            0.096477,            0.032726,            0.013855,           0.0020987,            0.014293,           0.0092931,           0.0092931
                  12,            0.033106,            0.019438,           0.0024804,             0.33798,             0.40775,             0.28584,            0.088201,            0.032746,            0.013821,           0.0021194,           0.0097624,           0.0097624,           0.0097624
                  13,            0.033626,            0.020057,            0.002633,             0.35539,             0.39877,             0.30037,             0.09156,            0.032484,             0.01388,           0.0020832,           0.0097624,           0.0097624,           0.0097624
                  14,            0.033402,            0.021085,           0.0027017,             0.32282,             0.38802,             0.27768,            0.084958,            0.032995,            0.013799,           0.0020726,           0.0097426,           0.0097426,           0.0097426
                  15,            0.032264,            0.022318,           0.0024604,             0.38079,             0.41484,             0.32023,            0.097547,            0.031614,            0.013988,            0.002057,           0.0097228,           0.0097228,           0.0097228
                  16,            0.032003,            0.020614,           0.0026108,             0.37913,             0.41146,             0.32345,             0.10299,            0.031712,            0.013985,           0.0020671,            0.009703,            0.009703,            0.009703
                  17,            0.031518,            0.022302,           0.0023197,             0.36019,             0.42082,             0.30578,             0.09265,            0.032043,            0.014083,           0.0020928,           0.0096832,           0.0096832,           0.0096832
                  18,            0.031708,            0.020482,           0.0024498,             0.35935,              0.3785,             0.30419,             0.08405,            0.032043,            0.014125,           0.0020678,           0.0096634,           0.0096634,           0.0096634
                  19,            0.031646,            0.020048,              0.0024,             0.35747,             0.40385,             0.31108,            0.092498,            0.032133,            0.013977,           0.0020469,           0.0096436,           0.0096436,           0.0096436
                  20,            0.032677,            0.020539,           0.0025015,             0.37569,             0.39574,             0.31342,            0.095565,            0.031839,            0.013959,           0.0020457,           0.0096238,           0.0096238,           0.0096238
                  21,            0.031551,            0.021551,           0.0024546,             0.40071,               0.425,             0.33637,            0.099731,            0.031193,            0.014007,            0.002042,            0.009604,            0.009604,            0.009604
                  22,            0.031119,             0.02014,           0.0023737,              0.4274,             0.41682,             0.35479,             0.10058,            0.030948,            0.014119,           0.0020243,           0.0095842,           0.0095842,           0.0095842
                  23,            0.031418,            0.020959,           0.0023853,              0.4307,             0.40558,             0.35466,            0.089883,            0.031319,            0.014243,           0.0020303,           0.0095644,           0.0095644,           0.0095644
                  24,             0.03132,             0.02075,           0.0023019,             0.44429,              0.4591,             0.38272,              0.1167,            0.030326,            0.014132,           0.0020332,           0.0095446,           0.0095446,           0.0095446
                  25,            0.031378,            0.021394,           0.0023151,             0.49518,             0.40933,             0.37712,             0.10422,            0.030816,            0.014211,           0.0020317,           0.0095248,           0.0095248,           0.0095248
                  26,            0.031639,            0.022759,           0.0025204,             0.46476,             0.41038,             0.36261,             0.10671,            0.030647,            0.014478,           0.0020077,            0.009505,            0.009505,            0.009505
                  27,            0.030684,             0.02072,           0.0021453,             0.47283,             0.40263,             0.35648,            0.098001,            0.030683,            0.014333,           0.0020439,           0.0094852,           0.0094852,           0.0094852
